study_time,score
39,81
29,66
15,39
43,100
8,34
21,54
39,89
19,42
23,48
11,32
11,32
24,61
36,85
40,91
24,50
3,20
22,53
2,9
24,55
44,91
30,68
38,89
2,12
21,47
33,74
12,36
22,47
44,92
25,60
49,100
27,73
42,93
28,61
16,37
15,37
47,100
44,87
3,22
37,83
7,23
21,56
9,22
39,84
18,48
4,17
25,61
14,37
50,100
9,35
26,67
2,1
20,57
28,76
47,100
7,22
44,94
8,29
47,100
35,81
14,37
17,50
36,80
50,100
40,91
4,27
2,14
6,19
42,98
4,21
29,63
18,43
26,67
44,100
34,65
10,32
36,86
14,33
31,75
48,100
15,41
8,22
14,35
23,56
40,91
21,52
16,44
45,99
18,46
47,100
24,52
26,62
25,60
45,100
41,90
29,71
15,45
45,90
1,17
25,55
7,18
9,13
24,53
1,11
44,96
8,23
24,52
11,36
17,48
8,28
35,70
35,91
33,76
5,22
42,86
39,87
41,94
28,65
7,28
9,34
8,19
12,38
34,79
33,75
48,98
23,63
24,59
37,75
35,78
44,99
40,92
22,53
27,65
35,90
1,19
35,75
37,81
47,100
14,29
3,9
1,3
5,14
26,68
14,33
39,82
27,68
9,25
15,42
15,36
26,52
42,96
